Frame,Camera_Read_ms,MediaPipe_ms,Logic_ms,Input_ms,Total_System_Latency_ms,Gesture
24,6.836800021119416,78.34130001720041,0.030199997127056122,0.000400003045797348,78.37780000409111,jump
25,7.760099950246513,84.30490002501756,0.02529995981603861,0.000400003045797348,84.33600002899766,jump
26,6.323700014036149,79.82309994986281,0.029399991035461426,0.000400003045797348,79.85869998810813,jump
27,8.46129999263212,81.86150004621595,0.027300033252686262,0.000500003807246685,81.89540001330897,jump
28,7.3044000309892,84.99409997602925,0.020799983758479357,0.000400003045797348,85.01939999405295,jump
29,8.364200009964406,79.6581000322476,0.018600025214254856,0.000400003045797348,79.68150003580377,jump
30,9.245900029782206,77.76919996831566,0.022099993657320738,0.000400003045797348,77.79609999852255,jump
31,9.240499988663942,81.2889999942854,0.019799976143985987,0.000400003045797348,81.31310000317171,jump
32,6.266199983656406,80.95700002741069,0.024900014977902174,0.000400003045797348,80.98939998308197,jump
33,9.408500045537949,77.92630000039935,0.022300053387880325,0.000500003807246685,77.95559999067336,jump
34,8.273800020106137,77.81119999708608,0.05229999078437686,0.000300002284348011,77.86949997534975,jump
35,8.138899982441217,75.53660002304241,0.02729997504502535,0.00100000761449337,75.57220000308007,jump
36,7.58150004548952,76.81369996862486,0.020199979189783335,0.000400003045797348,76.83849998284131,jump
37,8.208799990825355,80.35390003351495,0.038300000596791506,0.000600004568696022,80.40050003910437,jump
38,10.444100014865398,76.96689997101203,0.017900019884109497,0.000400003045797348,76.98899996466935,neutral
39,6.80049997754395,78.56880000326782,0.01899997005239129,0.000600004568696022,78.59360001748428,neutral
40,8.058300008997321,76.92580000730231,0.01799996243789792,0.000600004568696022,76.94900000933558,neutral
41,8.788499981164932,79.13450000341982,0.021199986804276705,0.000700005330145359,79.1612000321038,neutral
42,8.550000027753413,77.9068999690935,0.024200009647756815,0.000800006091594696,77.9377999715507,neutral
43,7.137099979445338,78.85420002276078,0.026799971237778664,0.000600004568696022,78.88670003740117,neutral
44,10.143499996047467,77.36930000828579,0.023800006601959467,0.000800006091594696,77.3998000076972,neutral
45,6.918200000654906,79.50789999449626,0.02619996666908264,0.0009999494068324566,79.54219996463507,neutral
46,6.427299987990409,83.6179000325501,0.03559998003765941,0.000700005330145359,83.65879999473691,neutral
47,6.165799975860864,81.08650002395734,0.028699985705316067,0.001100008375942707,81.30740001797676,neutral
48,7.031199987977743,75.80360001884401,0.02169999061152339,0.000700005330145359,75.83059999160469,neutral
49,6.502099975477904,75.42920002015308,0.02039998071268201,0.000900006853044033,75.45470003969967,neutral
50,6.531099963467568,80.64960001502186,0.03029999788850546,0.000800006091594696,80.6872000102885,neutral
51,8.941299980506301,75.62910002889112,0.02300000051036477,0.000900006853044033,75.65970002906397,neutral
52,8.418699959293008,78.473900037352,0.018499966245144606,0.000600004568696022,78.49730004090816,neutral
53,7.9055000096559525,81.02749998215586,0.022899999748915434,0.000800006091594696,81.05629996862262,neutral
54,7.890900014899671,83.70499999728054,0.019499973859637976,0.000700005330145359,83.72990001225844,neutral
55,9.89859999390319,78.61170003889129,0.01999997766688466,0.000600004568696022,78.63669999642298,neutral
56,7.956600049510598,83.17229995736852,0.019600032828748226,0.001200009137392044,83.19879998452961,neutral
57,7.4745999881997705,77.79489998938516,0.019099970813840628,0.000800006091594696,77.81919999979436,neutral
58,6.382999999914318,78.61879997653887,0.02759997732937336,0.000900006853044033,78.65329994820058,neutral
59,11.529000010341406,78.54189997306094,0.033800024539232254,0.000900006853044033,78.58269999269396,neutral
60,9.490499971434474,80.47169999917969,0.018300022929906845,0.0005999463610351086,80.49490000121295,neutral
61,9.866499982308596,73.750400042627,0.02039998071268201,0.0006999471224844456,73.7760000047274,neutral
62,7.145499985199422,79.9682000069879,0.017799960914999247,0.000600004568696022,79.99080000445247,neutral
63,8.028400014154613,79.2854999890551,0.018600025214254856,0.000600004568696022,79.30849998956546,neutral
64,9.788500028662384,78.73730000574142,0.023600005079060793,0.001200009137392044,78.7700999644585,neutral
